1000	2	10	145360	0.0178654	17
1000	2	100	684206	0.0015768	10
1000	2	1000	1150707	0	1
1000	10	10	393966	0.571266	30
1000	10	100	1081357	0.282467	10
1000	10	1000	1910273	0	1
1000	100	10	1471656	7.90357	23
1000	100	100	2963917	6.76475	5
1000	100	1000	9589658	0	1
10000	2	10	8903443	0.016817	108
10000	2	100	54266508	0.00164102	90
10000	2	1000	116081399	0.000137662	19
10000	10	10	19665332	0.595875	152
10000	10	100	76076117	0.342454	76
10000	10	1000	161746013	0.167454	16
10000	100	10	102368756	8.05287	160
10000	100	100	192431935	7.55779	38
10000	100	1000	765194613	6.41137	15
100000	2	10	62957070	0.0170205	75
100000	2	100	1678796753	0.00165097	281
100000	2	1000	4590171912	0.000159512	79
100000	10	10	326341487	0.601624	248
100000	10	100	2629831794	0.354804	266
100000	10	1000	7651529662	0.19913	79
100000	100	10	4464783923	8.09676	673
100000	100	100	12602891707	7.73588	252
